Code;latitude;longitude
04070;44.0925;6.2316
04112;43.8347;5.7861
07010;45.2416;4.67
10033;48.233;4.717
13103;43.6333;5.1
14191;49.320554;-0.3707
16089;45.67;-0.31
16102;45.7;-0.33
17197;46.1591;-1.1511
19123;45.18;1.57
22070;45.8163;8.9317
22113;48.7333;-3.4667
25031;47.48;6.85
26324;42.4167;-2.8167
27112;49.633;2.3
27681;49.088;1.485
29046;48.096;-4.331
29220;47.86;-4.2196
29260;48.4333;-4.6167
30003;43.551;4.1833
30032;43.837;0.3759
30189;43.8445;4.348
31033;43.359599;1.477428
31107;43.301449;1.2185
31433;43.523;1.408
31488;43.666;1.505
31506;43.554;1.544
32107;43.971697;0.3741
34108;43.45;3.75
35236;47.6545;-2.0839
38337;45.3609;5.4871
39097;46.7445;5.9
40192;43.899;-0.4907
42005;45.527;4.257
42095;45.389;4.285
43012;45.37;4.202
43224;45.2470;4.2285
44067;47.627889;-1.830776
45252;48.18051;2.257
49063;47.354;0.764
49244;47.353;-0.869187
52448;48.62801; 4.949235,
54580;49.197014;5.9483
54528;48.6822;5.8914
56121;47.7467;-3.3782
57283;49.247326;6.1597
59386;50.672393;3.063262
62178;50.49031;2.552053
62215;50.4914474487; 2.95813703537
62250;50.837117;1.71313
62318;50.523582;1.652
62473;50.616301;2.455663
62587;50.428089;2.930382
62895;50.48333;2.85
62765;50.767978;2.263349
68226;48.0463;7.1328
69006;45.9660;4.337
69266;45.7719;4.8898
72132;48.1847;0.6366
72180;48.3554;0.3707
72264;47.8397;-0.3542
74225;45.8554;5.9412
76259;49.7479;0.4012
76474;49.4876;1.0559
76540;49.4412;1.0912
77058;48.8297;2.7091
77258;48.8325;2.6366
77294;48.9796;2.6116
78362;48.9752;1.7103
78586;48.9374;2.1744
78646;48.8039;2.1191
79049;46.8654;-0.4733
82075;43.8240;1.2923
82112;44.1219;1.1002
84003;43.8815;5.3814
84138;44.3790;4.9973
86041;46.6057;0.3670
87161;45.8446;1.4990
88372;48.4039;6.8679
88465;48.2498;6.4244
89025;47.4808;3.9197
91286;48.6584;2.3861
91434;48.6564;2.3513
94011;48.7721;2.4930
94041;48.8125;2.3872
94058;48.8433;2.5045
94076;48.7934;2.3603
95250;49.1003;2.5043
95252;48.9879;2.2235
95555;48.9679;2.2850
95585;48.9925;2.3858
95652;49.1229;2.3836
62261;50.4907;1.6116
62510;50.4231;2.7702
66141;42.7506;2.9172
81163;43.4666;2.3863
44026;47.2968;-1.4687
