"libelle_x","population_municipale_2021_x","taux_de_mortalite_annuel_moyen_2015_2021","taux_de_natalite_annuel_moyen_2015_2021","departement","taux_visites","taille_menage_moyenne_","part_des_familles_sans_enf_de_de_25_ans_2021","part_des_familles_avec_1_enf_de_de_25_ans_2021","part_famille_enfant_2_25ans","part_des_familles_avec_3_enf_ou_plus_de_de_25_ans_2021","part_monoparentale","prop_0_24","prop_25_44","prop_45_59","prop_60_plus"
"Ambérieu-en-Bugey",14854,9.2,15.4,1,1.58792244513262,2.07,47.4,22.3,18.3,12,17.4,0.280665140702841,0.256900498182308,0.186549077689511,0.209640500875185
"Arbent",3409,7.1,8.8,1,1.12701672044588,2.42,51.7,19,18.8,10.4,6.9,0.246406570841889,0.233206218832502,0.200645350542681,0.239953065415078
"Attignat",3336,4.4,10.9,1,1.30935251798561,2.36,49,19.5,22.4,9.2,10.2,0.266187050359712,0.268884892086331,0.211330935251799,0.18794964028777
"Bâgé-Dommartin",4065,5.7,11,1,1.11168511685117,2.49,47.8,19.9,22.2,10.1,8.2,0.280442804428044,0.241328413284133,0.231488314883149,0.168019680196802
"Bellignat",3636,5.2,10.9,1,1.08718371837184,2.14,50.7,17.4,15.7,16.2,15.2,0.293454345434543,0.238448844884488,0.172717271727173,0.224972497249725
"Béligneux",3434,8.4,14.5,1,1.41176470588235,2.71,42.1,21.1,22.1,14.7,13.2,0.298485730926034,0.29120559114735,0.17472335468841,0.154630168899243
"Valserhône",16295,8.9,13.7,1,0.828168149739184,2.24,46,22,21.1,10.9,15.3,0.285118134397054,0.283522552930347,0.206750536974532,0.180668916845658
"Belley",9239,13.4,10.2,1,1.34192012122524,2.04,52.7,18.2,19.1,10,17.1,0.25846953133456,0.211494750514125,0.192228596168417,0.26929321355125
"Beynost",4877,6,8.8,1,1.24707812179619,2.46,47.6,18.7,25.6,8,13.2,0.290957555874513,0.195612056592167,0.238466270248103,0.211195407012508
"La Boisse",3361,4.7,12.6,1,1.44034513537638,2.59,44.7,21,22.5,11.7,9.2,0.277000892591491,0.228205891103838,0.241297232966379,0.169294852722404
"Bourg-en-Bresse",41525,11.3,11.8,1,1.19812161348585,1.89,49.5,21.8,14.9,13.8,22.5,0.27744732089103,0.231041541240217,0.180301023479831,0.241011438892234
"Cessy",5307,2.4,11,1,1.18805351422649,2.37,38.5,28.2,26.3,6.9,15.9,0.289805916713774,0.311475409836066,0.240625588844922,0.0998680987375165
"Châtillon-sur-Chalaronne",5059,18.3,7.4,1,1.00197667523226,2.03,52.8,22.7,17.8,6.7,16.7,0.230282664558213,0.21486459774659,0.188772484680767,0.267444158924689
"Culoz-Béon",3426,8.5,13.4,1,1.42206654991243,2.16,56.3,16.3,16.1,11.3,13.7,0.258902510215995,0.218330414477525,0.199649737302977,0.238762405137186
"Dagneux",4753,4.2,12.8,1,1.48916473806017,2.52,41.4,20,27.2,11.5,17.5,0.319587628865979,0.245318746055123,0.193561960866821,0.180517567851883
"Divonne-les-Bains",10137,5.2,9.5,1,1.00522837131301,2.21,46.1,21.6,23.3,9.1,15.3,0.25964289237447,0.280655026141857,0.206471342606294,0.185656505869587
"Feillens",3381,9.6,11.7,1,1.28778467908903,2.27,53.3,20.6,19.5,6.6,10.1,0.224785566400473,0.247855664004732,0.194912747707779,0.255545696539485
"Ferney-Voltaire",10920,2.7,9.6,1,0.682600732600733,2.08,42.7,29.9,18.1,9.3,23.7,0.259249084249084,0.357509157509158,0.190659340659341,0.126831501831502
"Gex",13078,5.7,16,1,1.34187184584799,2.13,42.8,27.5,21.4,8.2,16.6,0.266095733292552,0.358005811286129,0.194295763878269,0.117372686955192
"Plateau d'Hauteville",4807,16,7.2,1,0.584148117328895,1.9,53.7,22.3,18,6.1,14.5,0.207405866444768,0.201581027667984,0.198668608279592,0.289577699188683
"Jassans-Riottier",6355,9.6,11.5,1,1.34933123524784,2.3,49.1,21.2,20,9.7,17.2,0.265932336742722,0.201573564122738,0.213375295043273,0.236506687647522
"Lagnieu",7268,9.3,11.1,1,1.63194826637314,2.15,48.4,22.5,21.3,7.7,14.7,0.257980187121629,0.239405613648872,0.197853604843148,0.22220693450743
"Loyettes",3381,5.1,12.7,1,1.81573498964803,2.54,38.8,22,27,12.2,12.2,0.303756285122745,0.299911268855368,0.168589174800355,0.149068322981366
"Meximieux",8085,9,12,1,1.29746444032158,2.3,43.9,21.1,24.7,10.4,17.2,0.292640692640693,0.263327149041435,0.194557823129252,0.178973407544836
